upi_transactions_count,upi_avg_monthly_amount,location_consistency,peer_attestations,customer_rating_avg,work_duration_months,aadhaar_verified,iwts_score
18.0,3572.123773737684,0.8804547988421834,6.0,2.821905513766951,119.0,1.0,53.57
155.0,23183.971056057442,0.7158671908658314,4.0,1.4754319582809199,67.0,1.0,73.39
131.0,6886.987830511066,0.47139832303560114,10.0,3.2766937069551054,5.0,1.0,65.23
88.0,8040.172152799997,0.8219725004622098,13.0,1.6257153121334609,107.0,0.0,65.47
87.0,31797.999244995404,0.3591366269739503,5.0,1.243833335591424,114.0,0.0,53.56
171.0,19949.905882726547,0.8420924841141482,15.0,2.9946713337154436,34.0,1.0,86.44
18.0,46131.69628267225,0.7129896555701094,12.0,3.621493800186512,48.0,0.0,66.49
139.0,16298.246483099467,0.3775252228774811,3.0,4.416589225625572,4.0,1.0,61.81
41.0,36445.91635500311,0.35565389416465915,18.0,4.131342215817215,96.0,1.0,64.98
19.0,23324.421792667927,0.8255854334055237,0.0,4.428962051026193,93.0,0.0,53.49
105.0,33167.5894058993,0.505055134552686,13.0,4.0402750832835626,3.0,1.0,67.12
195.0,30184.920157441524,0.9225112955370494,8.0,3.8129575876245574,84.0,1.0,96.16
147.0,23902.806651570412,0.8334511147211232,13.0,1.0405502765627985,50.0,1.0,81.8
152.0,47528.024183909634,0.7887331713024013,15.0,3.504409247236842,65.0,1.0,89.2
143.0,17464.325316370316,0.4950242368434157,13.0,1.4819272165564707,26.0,1.0,77.66
157.0,9273.157311838992,0.7962611633151325,13.0,1.2346685293301642,98.0,1.0,80.67
103.0,34065.656013551496,0.9637033791603837,16.0,1.6256486084226216,49.0,1.0,80.73
26.0,42377.37428474148,0.36409188405939824,14.0,4.293168645767,100.0,1.0,68.4
168.0,2492.560127026226,0.5283138494024961,16.0,3.9753975724000856,18.0,1.0,67.09
90.0,22756.81807692269,0.46427058582311587,8.0,4.79508962082085,70.0,1.0,75.53
100.0,44678.14063952265,0.5752750940804667,4.0,4.915905034601642,37.0,1.0,69.3
74.0,37606.12163668194,0.8196328583977623,4.0,4.573135945495928,115.0,1.0,72.8
37.0,49594.4819666326,0.6319698069977706,12.0,1.5317042039079967,67.0,1.0,66.2
185.0,26804.983674063566,0.6995114242841723,10.0,4.513530963699921,86.0,1.0,93.34
156.0,33169.78808065699,0.5199084216548396,1.0,4.354548539154582,11.0,1.0,67.4
129.0,15472.773916327442,0.39890248696097036,4.0,4.484343439438789,81.0,1.0,73.41
81.0,47403.01218346662,0.48685355425640997,19.0,1.6067424684659657,13.0,1.0,64.95
164.0,18633.606683548547,0.901776210869391,14.0,1.4671673110932701,44.0,1.0,88.25
109.0,37056.28027798812,0.7216918735073873,15.0,4.695235518336327,27.0,0.0,77.72
89.0,20455.440103894554,0.5645920712380637,3.0,1.695306596538018,1.0,0.0,50.75
90.0,28310.037038118466,0.8529341872149112,1.0,2.474486924170405,70.0,1.0,65.42
46.0,36129.23548356654,0.34512020271843613,5.0,2.823939397976241,29.0,1.0,57.46
